01/03/2022 15:03:12 WARNING  Un utente sconosciuto [id: 2075687349 ; is_bot: False ; first_name: Marco ; last_name: None ; username: None ; language_code: it ; chat_id: 2075687349 ; chat_type: private ; chat_title: None ; chat_bio: None ; chat_description: None] ha provato ad usare il comando /start
01/03/2022 15:03:36 WARNING  Un utente sconosciuto [id: 2075687349 ; is_bot: False ; first_name: Marco ; last_name: None ; username: None ; language_code: it ; chat_id: 2075687349 ; chat_type: private ; chat_title: None ; chat_bio: None ; chat_description: None] ha provato ad usare il comando /start
05/04/2022 22:50:50 WARNING  Un utente sconosciuto [id: 1990124517 ; is_bot: False ; first_name: Lol ; last_name: None ; username: None ; language_code: it ; chat_id: 1990124517 ; chat_type: private ; chat_title: None ; chat_bio: None ; chat_description: None] ha provato ad usare il comando /start
05/04/2022 22:50:55 WARNING  Un utente sconosciuto [id: 1990124517 ; is_bot: False ; first_name: Lol ; last_name: None ; username: None ; language_code: it ; chat_id: 1990124517 ; chat_type: private ; chat_title: None ; chat_bio: None ; chat_description: None] ha provato ad usare il comando /start
05/04/2022 22:51:00 WARNING  Un utente sconosciuto [id: 1990124517 ; is_bot: False ; first_name: Lol ; last_name: None ; username: None ; language_code: it ; chat_id: 1990124517 ; chat_type: private ; chat_title: None ; chat_bio: None ; chat_description: None] ha provato ad usare il comando /aiuto
05/04/2022 22:51:07 WARNING  Un utente sconosciuto [id: 1990124517 ; is_bot: False ; first_name: Lol ; last_name: None ; username: None ; language_code: it ; chat_id: 1990124517 ; chat_type: private ; chat_title: None ; chat_bio: None ; chat_description: None] ha provato ad usare il comando /aiuto
05/04/2022 22:51:12 WARNING  Un utente sconosciuto [id: 1990124517 ; is_bot: False ; first_name: Lol ; last_name: None ; username: None ; language_code: it ; chat_id: 1990124517 ; chat_type: private ; chat_title: None ; chat_bio: None ; chat_description: None] ha provato ad usare il comando /conti
30/04/2022 16:32:21 WARNING  Un utente sconosciuto [id: 1842725850 ; is_bot: False ; first_name: king96 ; last_name: None ; username: kingnone ; language_code: it ; chat_id: 1842725850 ; chat_type: private ; chat_title: None ; chat_bio: None ; chat_description: None] ha provato ad usare il comando /start
14/05/2022 22:16:12 WARNING  Un utente sconosciuto [id: 571691920 ; is_bot: False ; first_name: PerroDelacalle ; last_name: None ; username: DonCorleone1926 ; language_code: it ; chat_id: 571691920 ; chat_type: private ; chat_title: None ; chat_bio: None ; chat_description: None] ha provato ad usare il comando /start
14/05/2022 22:16:18 WARNING  Un utente sconosciuto [id: 571691920 ; is_bot: False ; first_name: PerroDelacalle ; last_name: None ; username: DonCorleone1926 ; language_code: it ; chat_id: 571691920 ; chat_type: private ; chat_title: None ; chat_bio: None ; chat_description: None] ha provato ad usare il comando /capitale
14/05/2022 22:16:19 WARNING  Un utente sconosciuto [id: 571691920 ; is_bot: False ; first_name: PerroDelacalle ; last_name: None ; username: DonCorleone1926 ; language_code: it ; chat_id: 571691920 ; chat_type: private ; chat_title: None ; chat_bio: None ; chat_description: None] ha provato ad usare il comando /capitale
14/05/2022 22:16:23 WARNING  Un utente sconosciuto [id: 571691920 ; is_bot: False ; first_name: PerroDelacalle ; last_name: None ; username: DonCorleone1926 ; language_code: it ; chat_id: 571691920 ; chat_type: private ; chat_title: None ; chat_bio: None ; chat_description: None] ha provato ad usare il comando /ruok
